id,title,slug,image,attachment,description,published_year,class,level,writer,reviewer,translator,adapter,designer,cover_designer,ilustrator,editor,aligner,publisher,contributor,language,context,subject,format,isbn,curriculum,collation,type,edition,unit,status,category,book_type,version,price_zone_1,price_zone_2,price_zone_3,price_zone_4,price_zone_5A,price_zone_5B,created_at,updated_at,deleted_at
3807,Teknik Energi Surya Hidro dan Angin BS Kelas XI,teknik-energi-surya-hidro-dan-angin-bs-kelas-xi,https://files.cloudapp.web.id/buku/Cover/Teknik_Energi_Surya_Hidro_dan_Angin_BS_Kelas_X_cover.PNG,https://files.cloudapp.web.id/buku/BukuPendidikan/Teknik_Energi_Surya_Hidro_dan_Angin_BS_Kelas_X.pdf,,2024-10-10,11,SMA/MA/SMK/MAK,"Zainul M. Pulungan, Feviana Idarrani, Amin Wahyono","Eka Cahya Prima, Tatyantoro Andrasto",,"Supriyatno, Wijanarko Adi Nugroho, Wuri Prihantini, Ria Triyanti",Erwin,,Rizki Arif Maulana,"Christina Tulalessy, Wuri Prihantini",,Pusat Perbukuan,,Indonesia,,tenik-energi-surya-hidro-dan-angin,Text,ISBN 978-634-00-0045-0,2024,,pdf,1,Pusbuk,publish,buku_sekolah_penggerak,buku_siswa,,0,0,0,0,0,0,2025-10-10 08:22:34,2025-10-18 08:55:52,
3808,Panduan Guru Teknik Energi Surya Hidro dan Angin BG Kelas XI,panduan-guru-teknik-energi-surya-hidro-dan-angin-bg-kelas-xi,https://files.cloudapp.web.id/buku/Cover/Teknik_Energi_Surya_Hidro_dan_Angin_BG_Kelas_X_cover.PNG,https://files.cloudapp.web.id/buku/BukuPendidikan/Teknik_Energi_Surya_Hidro_dan_Angin_BG_Kelas_X.pdf,,2024-10-10,11,SMA/MA/SMK/MAK,"Zainul M. Pulungan, Feviana Idarrani, Amin Wahyono","Eka Cahya Prima, Tatyantoro Andrasto",,"Supriyatno, Wijanarko Adi Nugroho, Wuri Prihantini, Ria Triyanti",Erwin,Rizki Arif Maulana,Rizki Arif Maulana,"Christina Tulalessy, Wuri Prihantini, Maya Lestari",,Pusat Perbukuan,,Indonesia,,tenik-energi-surya-hidro-dan-angin,Text,ISBN 978-634-00-0200-3,2024,,pdf,1,Pusbuk,publish,buku_sekolah_penggerak,buku_guru,,0,0,0,0,0,0,2025-10-10 08:50:39,2025-10-18 08:55:18,
1559,Buku Panduan Guru Pendidikan Khusus bagi Peserta Didik Disabilitas Rungu Disertai Hambatan Intelektual,Buku-Panduan-Guru-Pendidikan-Khusus-bagi-Peserta-Didik-Disabilitas-Rungu-Disertai-Hambatan-Intelektual-untuk-SDLB-SMPLB-dan-SMALB,https://static.buku.kemdikbud.go.id/content/image/coverteks/coverkurikulum21/Diksus-BG-Rungu-cover.png,https://static.buku.kemdikbud.go.id/content/pdf/bukuteks/kurikulum21/Diksus-BG-Rungu.pdf,,0000-00-00,,PAUD,"Sylvi Noor Aini, Farida Yuliati, dan Aprilia Nandariski",Priyono dan Rina Maryanti,,,Frisna Yulinda Natasya,,Daniel Tirta Ramana,Rudi Norman Permana,"Supriyatno, Wijanarko Adi Nugroho, Ria Triyanti",Pusat  Perbukuan,"Danur Wendo Cahyadi, Unaya Karmilah",Indonesia,,,Teks,978-602-244-911-9,2022,,pdf,1,Pusat  Perbukuan,publish,buku_sekolah_penggerak,buku_siswa,,63400,66000,68600,100300,105600,132000,2022-07-16 17:31:00,2025-10-11 20:15:42,
1556,Buku Panduan Guru Pendidikan Khusus bagi Peserta Didik Disabilitas Netra Disertai Hambatan Intelektual,Buku-Panduan-Guru-Pendidikan-Khusus-bagi-Peserta-Didik-Disabilitas-Netra-Disertai-Hambatan-Intelektual-untuk-SDLB-SMPLB-dan-SMALB,https://static.buku.kemdikbud.go.id/content/image/coverteks/coverkurikulum21/Diksus-BG-Netra-cover.png,https://static.buku.kemdikbud.go.id/content/pdf/bukuteks/kurikulum21/Diksus-BG-Netra.pdf,,0000-00-00,,PAUD,"Muhammad Khambali, Silvia Nurtasila","Subagya, Asep Supena",,,Muhammad Nichal Zaki,,Arief Firdaus,"Imtam Rus Ernawati, Meylina","Supriyatno, Wijanarko Adi Nugroho, Meylina",Pusat  Perbukuan,"Rian Ahmad Gumilar, Anna Dastiana Ismayanti",Indonesia,,,Teks,978-602-244-912-6,2022,,pdf,1,Pusat  Perbukuan,publish,buku_sekolah_penggerak,buku_siswa,,77100,80300,83500,122000,128400,160500,2022-07-16 17:31:00,2025-10-11 20:15:31,
1553,Buku Panduan Guru Pendidikan Khusus bagi Peserta Didik dengan Hambatan Intelektual,Buku-Panduan-Guru-Pendidikan-Khusus-bagi-Peserta-Didik-dengan-Hambatan-Intelektual-untuk-SDLB-SMPLB-dan-SMALB,https://static.buku.kemdikbud.go.id/content/image/coverteks/coverkurikulum21/Diksus-BG-HI-cover.png,https://static.buku.kemdikbud.go.id/content/pdf/bukuteks/kurikulum21/Diksus-BG-HI.pdf,,0000-00-00,,PAUD,"Rina Maryanti, Febiana, Sylvi Noor Aini","Yuyus Suherman, Mohammad Arif Taboer, Kurnia Mega Hapsari",,,Triyono Indrasiwi Kuncoroaji,,Arief Firdaus,"Futri F. Wijayanti, Emira Novitriani Yusuf","Supriyatno, E. Oos M. Anwas, Farah Ariani, Futri F. Wijayanti, Emira N.Y",Pusat  Perbukuan,"Herlina Kristianti, Rani Aziz",Indonesia,,,Teks,978-602-244-765-8,2022,,pdf,1,Pusat  Perbukuan,publish,buku_sekolah_penggerak,buku_siswa,,58700,61100,63500,92800,97700,122100,2022-07-16 17:31:00,2025-10-11 20:15:17,
1550,Buku Panduan Guru Pendidikan Khusus bagi Peserta Didik Disabilitas Fisik Disertai Hambatan Intelektual,Buku-Panduan-Guru-Pendidikan-Khusus-bagi-Peserta-Didik-Disabilitas-Fisik-Disertai-Hambatan-Intelektual-untuk-SDLB-SMPLB-dan-SMALB,https://static.buku.kemdikbud.go.id/content/image/coverteks/coverkurikulum21/Diksus-BG-Fisik-cover.png,https://static.buku.kemdikbud.go.id/content/pdf/bukuteks/kurikulum21/Diksus-BG-Fisik.pdf,,0000-00-00,,PAUD,"Herlina Kristianti, Nina Dewi Nurchipayana","Nur Azizah, Indra Jaya",,,Handini Noorkasih,,Priyo Trilaksono,"Indah Sulistiyawati, Erlina Indarti","Supriyatno, Wijanarko Adi Nugroho, Firman Arapenta Bangun, Erlina Indarti",Pusat  Perbukuan,"Ai Ucu Rosida, Tegar Rahmatya",Indonesia,,,Teks,978-602-244-914-0,2022,,pdf,1,Pusat  Perbukuan,publish,buku_sekolah_penggerak,buku_siswa,,63400,66000,68600,100300,105600,132000,2022-07-16 17:31:00,2025-10-11 20:15:05,
1547,Buku Panduan Guru Pendidikan Khusus bagi Peserta Didik Autis Disertai Hambatan Intelektual,Buku-Panduan-Guru-Pendidikan-Khusus-bagi-Peserta-Didik-Autis-Disertai-Hambatan-Intelektual-untuk-SDLB-SMPLB-dan-SMALB,https://static.buku.kemdikbud.go.id/content/image/coverteks/coverkurikulum21/Diksus-BG-Autis-cover.png,https://static.buku.kemdikbud.go.id/content/pdf/bukuteks/kurikulum21/Diksus-BG-Autis.pdf,,0000-00-00,,PAUD,"Ossy Firstanti Wardany, Mita Apriyanti","Sukinah, Farah Ariani",,,Sona Purwana,,"Fadli Halim Nursaepudin, Riksa Arif Fitriyani","Rifqi Risnadyatul Hudha, Futri F. Wijayanti","Supriyatno, Wijanarko Adi Nugroho, Futri F. Wijayanti",Pusat  Perbukuan,"Bambang Irawan, Arief Ridwan Rauf",Indonesia,,,Teks,978-602-244-913-3,2022,,pdf,1,Pusat  Perbukuan,publish,buku_sekolah_penggerak,buku_siswa,,81800,85200,88600,129500,136300,170400,2022-07-16 17:31:00,2025-10-11 20:14:53,
3545,Pilus Rumput Laut untuk Rasi (Buku Cerita Bergambar dengan Braille),pilus-rumput-laut-volume-1-buku-cerita-bergambar-dengan-braille,https://static.buku.kemdikbud.go.id/content/image/coverteks/coverkurikulum21/Pilus_Rumput_Laut_Diksus1_Cover.png,https://static.buku.kemdikbud.go.id/content/pdf/bukuteks/kurikulum21/Pilus_Rumput_Laut_Diksus1.pdf,,0000-00-00,0,PAUD,Nabila Adani,"Rizal Muhammad Z., Muhammad Khambali",,,Damar Sasongko,,Salma Intifada,Sofie Dewayani dan Bambang Trim,"Supriyatno, Wijanarko Adi Nugroho, Helga Kurnia, Futri F. Wijayanti, Irma Afriyanti, Firman Arapenta B., Arifah Dinda Lestari, Nurul Hayati",Pusat  Perbukuan,,Indonesia,,,Teks,978-623-118-226-5,2023,,pdf,1,Pusat  Perbukuan,publish,buku_sekolah_penggerak,buku_siswa,,264400,0,0,0,0,0,2024-06-21 03:47:37,2025-10-11 20:14:25,
3805,"Panduan Guru Konstruksi Jalan, Irigasi, dan Jembatan untuk SMK/MAK Kelas XI",panduan-guru-konstruksi-jalan-irigasi-dan-jembatan-untuk-smkmak-kelas-xi,https://files.cloudapp.web.id/buku/Cover/Konstruksi_Jalan_Irigasi_Jembatan_BG_Kelas_XI_Cover.PNG,https://files.cloudapp.web.id/buku/BukuPendidikan/Konstruksi_Jalan_Irigasi_Jembatan_BG_Kelas_XI.pdf,,2025-01-01,11,SMA/MA/SMK/MAK,"Galeh Nur Indriatno Putra Pratama, Arum Fajar Vebrianingtyas","Dian Eksana Wibowo, Ika Rahmawati Suyanto",,"Supriyatno, Wijanarko Adi Nugroho, Erlina Indarti, Irma Afriyanti",Ingrid Pangestu,,Ahmad Riyadhil Hadi,"Andriansyah, Irma Afriyanti, Maya Lestari",,Pusat Perbukuan,,Indonesia,,kontruksi-jalan-irigasi-dan-jembatan,Text,978-634-00-0192-1,2023,,pdf,,Pusbuk,publish,buku_sekolah_penggerak,buku_guru,,77100,80300,83500,122000,128500,160600,2025-10-09 23:43:11,2025-10-10 17:00:23,
3806,"Konstruksi Jalan, Irigasi, dan Jembatan untuk SMK/MAK Kelas XI",konstruksi-jalan-irigasi-dan-jembatan-untuk-smkmak-kelas-xi,https://files.cloudapp.web.id/buku/Cover/Konstruksi_Jalan_Irigasi_Jembatan_BS_Kelas_XI_Cover.PNG,https://files.cloudapp.web.id/buku/BukuPendidikan/Konstruksi_Jalan_Irigasi_Jembatan_BS_Kelas_XI.pdf,,0000-00-00,11,SMA/MA/SMK/MAK,"Arum Fajar Vebrianingtyas, Galeh Nur Indriatno Putra Pratama","Dian Eksana Wibowo, Ika Rahmawati Suyanto",,"Supriyatno, Wijanarko Adi Nugroho, Erlina Indarti, Irma Afriyanti",Ingrid Pangestu,,Ahmad Riyadhil Hadi,"Andriansyah, Erlina Indarti,  Maya Lestari",,Pusat Perbukuan,,Indonesia,,kontruksi-jalan-irigasi-dan-jembatan,Text,978-634-00-0196-9,2023,,pdf,,Pusbuk,publish,buku_sekolah_penggerak,buku_siswa,,35100,36600,38100,55600,58500,73100,2025-10-09 23:50:15,2025-10-10 17:00:12,
